scene,feature,mode,n,slope,conv_rate,div_rate
arguing,embedding_cosine_dist,a2h,38,1e-05,0.13158,0.02632
arguing,embedding_cosine_dist,h2a,38,1e-05,0.0,0.10526
arguing,embedding_cosine_dist,sym,38,1e-05,0.05263,0.15789
arguing,intensity_max,a2h,36,0.00113,0.11111,0.25
arguing,intensity_max,h2a,36,0.00022,0.11111,0.05556
arguing,intensity_max,sym,36,0.00078,0.11111,0.11111
arguing,intensity_mean,a2h,36,0.00106,0.08333,0.16667
arguing,intensity_mean,h2a,36,0.0017,0.08333,0.02778
arguing,intensity_mean,sym,36,0.00121,0.08333,0.05556
arguing,intensity_min,a2h,36,0.00121,0.05556,0.08333
arguing,intensity_min,h2a,35,0.00175,0.02857,0.11429
arguing,intensity_min,sym,37,0.00138,0.10811,0.13514
arguing,intensity_std,a2h,37,0.00122,0.10811,0.16216
arguing,intensity_std,h2a,36,0.00076,0.05556,0.05556
arguing,intensity_std,sym,37,0.00104,0.05405,0.08108
arguing,mfcc_centroid_dist,a2h,38,-0.0,0.18421,0.02632
arguing,mfcc_centroid_dist,h2a,38,-0.0,0.02632,0.05263
arguing,mfcc_centroid_dist,sym,38,-0.0,0.10526,0.05263
arguing,pitch_max,a2h,38,-0.02011,0.10526,0.05263
arguing,pitch_max,h2a,38,-0.07313,0.07895,0.05263
arguing,pitch_max,sym,38,-0.04214,0.07895,0.02632
arguing,pitch_mean,a2h,38,-0.04839,0.42105,0.05263
arguing,pitch_mean,h2a,38,-0.07548,0.10526,0.05263
arguing,pitch_mean,sym,38,-0.05709,0.05263,0.07895
arguing,pitch_min,a2h,37,-0.01038,0.10811,0.05405
arguing,pitch_min,h2a,37,-0.00353,0.08108,0.10811
arguing,pitch_min,sym,37,-0.009,0.05405,0.02703
arguing,pitch_std,a2h,38,-0.01678,0.42105,0.05263
arguing,pitch_std,h2a,38,-0.02652,0.0,0.02632
arguing,pitch_std,sym,38,-0.02074,0.02632,0.05263
arguing,speech_rate,a2h,38,-0.00013,0.18421,0.13158
arguing,speech_rate,h2a,38,-0.00036,0.10526,0.0
arguing,speech_rate,sym,38,-0.00029,0.05263,0.0
comforting,embedding_cosine_dist,a2h,39,0.0,0.02564,0.07692
comforting,embedding_cosine_dist,h2a,39,1e-05,0.07692,0.05128
comforting,embedding_cosine_dist,sym,39,1e-05,0.02564,0.02564
comforting,intensity_max,a2h,38,-1e-05,0.07895,0.10526
comforting,intensity_max,h2a,38,-0.00063,0.10526,0.10526
comforting,intensity_max,sym,38,-0.00017,0.15789,0.13158
comforting,intensity_mean,a2h,37,-0.00068,0.13514,0.08108
comforting,intensity_mean,h2a,37,0.00092,0.02703,0.05405
comforting,intensity_mean,sym,39,-0.00037,0.05128,0.05128
comforting,intensity_min,a2h,37,-0.00225,0.08108,0.02703
comforting,intensity_min,h2a,37,0.00011,0.02703,0.02703
comforting,intensity_min,sym,38,-0.00113,0.02632,0.02632
comforting,intensity_std,a2h,37,7e-05,0.05405,0.10811
comforting,intensity_std,h2a,37,-0.00047,0.05405,0.05405
comforting,intensity_std,sym,38,-0.00024,0.05263,0.07895
comforting,mfcc_centroid_dist,a2h,39,0.0,0.05128,0.07692
comforting,mfcc_centroid_dist,h2a,38,-0.0,0.10526,0.02632
comforting,mfcc_centroid_dist,sym,39,0.0,0.02564,0.05128
comforting,pitch_max,a2h,38,0.00987,0.05263,0.10526
comforting,pitch_max,h2a,39,-0.02162,0.07692,0.05128
comforting,pitch_max,sym,39,-0.0033,0.10256,0.05128
comforting,pitch_mean,a2h,39,0.01184,0.0,0.25641
comforting,pitch_mean,h2a,39,0.00077,0.02564,0.10256
comforting,pitch_mean,sym,39,0.00724,0.02564,0.17949
comforting,pitch_min,a2h,37,0.00386,0.10811,0.10811
comforting,pitch_min,h2a,35,0.00558,0.0,0.08571
comforting,pitch_min,sym,38,-0.00186,0.07895,0.10526
comforting,pitch_std,a2h,39,0.00453,0.0,0.02564
comforting,pitch_std,h2a,39,0.00084,0.05128,0.0
comforting,pitch_std,sym,39,0.0031,0.07692,0.0
comforting,speech_rate,a2h,39,0.00013,0.05128,0.02564
comforting,speech_rate,h2a,39,-0.00018,0.02564,0.02564
comforting,speech_rate,sym,39,8e-05,0.02564,0.07692
neutral,embedding_cosine_dist,a2h,38,1e-05,0.05263,0.0
neutral,embedding_cosine_dist,h2a,38,2e-05,0.07895,0.10526
neutral,embedding_cosine_dist,sym,38,1e-05,0.07895,0.13158
neutral,intensity_max,a2h,37,-0.00019,0.05405,0.08108
neutral,intensity_max,h2a,37,0.00047,0.16216,0.21622
neutral,intensity_max,sym,37,0.00029,0.13514,0.21622
neutral,intensity_mean,a2h,38,0.00037,0.07895,0.10526
neutral,intensity_mean,h2a,37,0.00033,0.02703,0.13514
neutral,intensity_mean,sym,38,0.00023,0.07895,0.10526
neutral,intensity_min,a2h,35,0.00342,0.02857,0.05714
neutral,intensity_min,h2a,35,0.00226,0.08571,0.14286
neutral,intensity_min,sym,35,0.00168,0.08571,0.14286
neutral,intensity_std,a2h,35,0.00089,0.08571,0.11429
neutral,intensity_std,h2a,36,0.00059,0.02778,0.08333
neutral,intensity_std,sym,37,0.00062,0.02703,0.08108
neutral,mfcc_centroid_dist,a2h,38,-0.0,0.10526,0.02632
neutral,mfcc_centroid_dist,h2a,38,0.0,0.02632,0.0
neutral,mfcc_centroid_dist,sym,38,0.0,0.02632,0.07895
neutral,pitch_max,a2h,37,0.01856,0.08108,0.02703
neutral,pitch_max,h2a,37,0.00437,0.08108,0.05405
neutral,pitch_max,sym,38,0.03418,0.05263,0.05263
neutral,pitch_mean,a2h,38,0.0043,0.05263,0.18421
neutral,pitch_mean,h2a,38,0.00058,0.18421,0.10526
neutral,pitch_mean,sym,38,0.0028,0.13158,0.15789
neutral,pitch_min,a2h,37,0.00955,0.0,0.16216
neutral,pitch_min,h2a,37,-0.00879,0.10811,0.0
neutral,pitch_min,sym,37,0.00213,0.05405,0.02703
neutral,pitch_std,a2h,38,0.00284,0.02632,0.10526
neutral,pitch_std,h2a,38,0.00026,0.02632,0.10526
neutral,pitch_std,sym,38,0.00104,0.05263,0.10526
neutral,speech_rate,a2h,38,0.00023,0.07895,0.13158
neutral,speech_rate,h2a,38,-0.00033,0.02632,0.02632
neutral,speech_rate,sym,38,-0.0,0.10526,0.05263
