scene,feature,n,sync_strength,ctrl_strength,sig_rate,pos_sync,neg_sync,human_follow,ai_follow
arguing,embedding_cosine_dist,38,0.763,0.759,0.079,0.635,0.365,0.464,0.51
arguing,intensity_max,36,0.755,0.75,0.028,0.545,0.455,0.483,0.474
arguing,intensity_mean,36,0.762,0.753,0.111,0.538,0.462,0.489,0.467
arguing,intensity_min,36,0.749,0.749,0.028,0.51,0.49,0.458,0.511
arguing,intensity_std,37,0.75,0.752,0.0,0.539,0.461,0.483,0.505
arguing,mfcc_centroid_dist,38,0.745,0.753,0.132,0.554,0.446,0.52,0.42
arguing,pitch_max,36,0.757,0.752,0.056,0.417,0.583,0.535,0.427
arguing,pitch_mean,38,0.749,0.75,0.053,0.501,0.499,0.524,0.443
arguing,pitch_min,37,0.766,0.754,0.081,0.452,0.548,0.497,0.478
arguing,pitch_std,38,0.749,0.747,0.105,0.493,0.507,0.524,0.429
arguing,speech_rate,38,0.754,0.749,0.053,0.516,0.484,0.451,0.515
comforting,embedding_cosine_dist,39,0.755,0.754,0.128,0.699,0.301,0.477,0.504
comforting,intensity_max,38,0.748,0.745,0.079,0.47,0.53,0.5,0.441
comforting,intensity_mean,38,0.764,0.75,0.026,0.496,0.504,0.495,0.452
comforting,intensity_min,37,0.774,0.759,0.027,0.525,0.475,0.53,0.457
comforting,intensity_std,37,0.733,0.751,0.0,0.52,0.48,0.443,0.534
comforting,mfcc_centroid_dist,39,0.763,0.761,0.051,0.643,0.357,0.511,0.474
comforting,pitch_max,39,0.756,0.756,0.103,0.508,0.492,0.431,0.547
comforting,pitch_mean,39,0.748,0.754,0.051,0.518,0.482,0.476,0.48
comforting,pitch_min,35,0.768,0.752,0.086,0.513,0.487,0.498,0.455
comforting,pitch_std,39,0.749,0.758,0.0,0.553,0.447,0.437,0.531
comforting,speech_rate,39,0.73,0.748,0.154,0.467,0.533,0.462,0.513
neutral,embedding_cosine_dist,38,0.768,0.767,0.053,0.692,0.308,0.428,0.547
neutral,intensity_max,37,0.766,0.753,0.054,0.55,0.45,0.459,0.513
neutral,intensity_mean,37,0.775,0.751,0.081,0.494,0.506,0.504,0.445
neutral,intensity_min,36,0.775,0.741,0.111,0.484,0.516,0.494,0.474
neutral,intensity_std,36,0.757,0.751,0.083,0.598,0.402,0.458,0.518
neutral,mfcc_centroid_dist,38,0.771,0.757,0.105,0.648,0.352,0.474,0.502
neutral,pitch_max,37,0.769,0.758,0.027,0.417,0.583,0.491,0.454
neutral,pitch_mean,38,0.764,0.753,0.026,0.501,0.499,0.485,0.5
neutral,pitch_min,34,0.793,0.764,0.0,0.452,0.548,0.486,0.495
neutral,pitch_std,38,0.754,0.754,0.0,0.405,0.595,0.474,0.492
neutral,speech_rate,38,0.761,0.754,0.053,0.556,0.444,0.409,0.557
