subject_id,scene,pleasure,arousal,dominance
1,neutral,1.0,0.0,4.0
2,neutral,2.0,-3.0,-2.0
3,neutral,1.0,-1.0,2.0
4,neutral,2.0,1.0,0.0
5,neutral,-1.0,2.0,3.0
6,neutral,4.0,2.0,3.0
7,neutral,-1.0,0.0,2.0
8,neutral,-1.0,-1.0,-2.0
9,neutral,0.0,-1.0,-3.0
10,neutral,2.0,1.0,0.0
11,neutral,1.0,-1.0,0.0
12,neutral,3.0,3.0,2.0
13,neutral,0.0,0.0,0.0
14,neutral,0.0,-4.0,0.0
15,neutral,2.0,1.0,0.0
16,neutral,0.0,0.0,-1.0
17,neutral,2.0,2.0,1.0
18,neutral,0.0,-4.0,1.0
19,neutral,0.0,-1.0,-2.0
20,neutral,-1.0,0.0,0.0
21,neutral,2.0,1.0,0.0
22,neutral,2.0,2.0,2.0
23,neutral,0.0,0.0,-2.0
24,neutral,2.0,2.0,0.0
25,neutral,0.0,-3.0,-3.0
26,neutral,0.0,-1.0,3.0
27,neutral,0.0,-1.0,2.0
28,neutral,0.0,-1.0,0.0
29,neutral,1.0,1.0,2.0
30,neutral,-1.0,0.0,2.0
31,neutral,0.0,1.0,1.0
32,neutral,1.0,2.0,0.0
33,neutral,0.0,0.0,-1.0
34,neutral,2.0,2.0,1.0
35,neutral,2.0,0.0,0.0
36,neutral,3.0,2.0,1.0
37,neutral,0.0,-1.0,-1.0
38,neutral,2.0,-1.0,0.0
39,neutral,1.0,0.0,-1.0
40,neutral,2.0,2.0,3.0
1,arguing,-2.0,2.0,0.0
2,arguing,-2.0,-2.0,1.0
3,arguing,-1.0,2.0,-3.0
4,arguing,-2.0,2.0,0.0
5,arguing,-2.0,2.0,0.0
6,arguing,-2.0,2.0,2.0
7,arguing,-2.0,2.0,3.0
8,arguing,-1.0,-1.0,2.0
9,arguing,0.0,-2.0,0.0
11,arguing,-1.0,1.0,-1.0
12,arguing,-3.0,3.0,-1.0
13,arguing,-1.0,1.0,0.0
14,arguing,-1.0,-2.0,0.0
15,arguing,-3.0,4.0,4.0
16,arguing,-1.0,0.0,0.0
17,arguing,1.0,2.0,1.0
18,arguing,-1.0,0.0,1.0
19,arguing,-1.0,-1.0,-1.0
20,arguing,-4.0,3.0,0.0
21,arguing,-2.0,1.0,0.0
22,arguing,1.0,-1.0,0.0
23,arguing,-1.0,1.0,-1.0
24,arguing,-1.0,1.0,1.0
25,arguing,0.0,-4.0,-1.0
26,arguing,0.0,-3.0,0.0
27,arguing,-2.0,1.0,0.0
28,arguing,0.0,-1.0,-2.0
29,arguing,-2.0,2.0,1.0
30,arguing,0.0,0.0,0.0
31,arguing,-2.0,3.0,-2.0
32,arguing,-2.0,1.0,-2.0
33,arguing,-2.0,1.0,0.0
34,arguing,2.0,0.0,2.0
35,arguing,-1.0,1.0,0.0
36,arguing,0.0,-1.0,1.0
37,arguing,0.0,-1.0,-2.0
38,arguing,-1.0,-2.0,0.0
39,arguing,-2.0,2.0,0.0
40,arguing,-2.0,4.0,-1.0
1,comforting,-2.0,3.0,3.0
2,comforting,-1.0,-2.0,1.0
3,comforting,-2.0,1.0,-1.0
4,comforting,0.0,0.0,-1.0
5,comforting,-1.0,0.0,2.0
6,comforting,0.0,0.0,3.0
7,comforting,-2.0,0.0,-2.0
8,comforting,-1.0,0.0,-3.0
9,comforting,-2.0,-2.0,-1.0
10,comforting,-2.0,2.0,1.0
11,comforting,-3.0,2.0,2.0
12,comforting,0.0,2.0,-1.0
13,comforting,-3.0,2.0,-1.0
14,comforting,-1.0,-2.0,0.0
15,comforting,1.0,-2.0,0.0
16,comforting,0.0,1.0,-2.0
17,comforting,0.0,1.0,1.0
18,comforting,-2.0,1.0,1.0
19,comforting,-3.0,0.0,-1.0
20,comforting,-2.0,1.0,-2.0
21,comforting,-2.0,1.0,1.0
22,comforting,-2.0,3.0,3.0
23,comforting,-2.0,2.0,-2.0
24,comforting,1.0,1.0,-2.0
25,comforting,0.0,-3.0,-1.0
26,comforting,-2.0,-1.0,3.0
27,comforting,-1.0,0.0,0.0
28,comforting,-1.0,-1.0,1.0
29,comforting,0.0,-2.0,1.0
30,comforting,-2.0,2.0,0.0
31,comforting,0.0,3.0,0.0
32,comforting,0.0,1.0,0.0
33,comforting,-1.0,1.0,0.0
34,comforting,-2.0,2.0,0.0
35,comforting,-2.0,2.0,-2.0
36,comforting,2.0,1.0,-1.0
37,comforting,-2.0,-2.0,0.0
38,comforting,-2.0,0.0,0.0
39,comforting,-2.0,0.0,1.0
40,comforting,-2.0,3.0,-1.0
