feature,sync,ctrl,sig,pos,neg,slope,convr,divr
pitch_mean,0.754,0.752,0.043,0.507,0.493,-0.0155,0.0696,0.1391
pitch_max,0.761,0.756,0.062,0.449,0.551,-0.0037,0.0783,0.0435
pitch_min,0.775,0.756,0.057,0.472,0.528,-0.0029,0.0625,0.0536
pitch_std,0.751,0.753,0.035,0.484,0.516,-0.0055,0.0522,0.0522
intensity_mean,0.767,0.751,0.072,0.509,0.491,0.0003,0.0708,0.0708
intensity_max,0.756,0.749,0.054,0.521,0.479,0.0003,0.1351,0.1532
intensity_min,0.766,0.75,0.055,0.507,0.493,0.0006,0.0727,0.1
intensity_std,0.747,0.751,0.027,0.552,0.448,0.0005,0.0446,0.0804
speech_rate,0.748,0.75,0.087,0.512,0.488,-0.0001,0.0609,0.0435
mfcc_centroid_dist,0.76,0.757,0.096,0.615,0.385,-0.0,0.0522,0.0609
embedding_cosine_dist,0.762,0.76,0.087,0.675,0.325,0.0,0.0522,0.1043
