layer,scene,n,strength,ctrl,sig,pos,neg,hfollow,aifollow
Spectral (MFCC),arguing,38,0.745,0.753,0.132,0.554,0.446,0.52,0.42
Spectral (MFCC),comforting,39,0.763,0.761,0.051,0.643,0.357,0.511,0.474
Spectral (MFCC),neutral,38,0.771,0.757,0.105,0.648,0.352,0.474,0.502
Prosodic,arguing,332,0.754,0.751,0.057,0.501,0.499,0.494,0.472
Prosodic,comforting,341,0.752,0.753,0.059,0.508,0.492,0.474,0.491
Prosodic,neutral,331,0.768,0.753,0.048,0.495,0.505,0.473,0.494
High-level (wav2vec2),arguing,38,0.763,0.759,0.079,0.635,0.365,0.464,0.51
High-level (wav2vec2),comforting,39,0.755,0.754,0.128,0.699,0.301,0.477,0.504
High-level (wav2vec2),neutral,38,0.768,0.767,0.053,0.692,0.308,0.428,0.547
